city_name,city_id,lat,lon,unix_dt,temp_max_c,temp_max_f,humidity,cloudiness,windspeed
Punta Arenas,3874787,-53.15,-70.92,1579899124,9.0,48.2,87,90,2.1
Avarua,4035715,-21.21,-159.78,1579899186,28.0,82.4,83,90,3.6
Bainbridge Island,5816320,47.63,-122.52,1579899187,12.0,53.6,81,90,5.1
Puerto Ayora,3652764,-0.74,-90.35,1579899187,30.0,86.0,58,20,8.7
Vaini,4032243,-21.2,-175.2,1579899187,27.0,80.6,78,20,5.1
Oneonta,5129852,42.45,-75.06,1579899187,9.44,48.992000000000004,56,79,0.45
Coyhaique,3894426,-45.58,-72.07,1579899187,20.0,68.0,52,75,3.6
Longyearbyen,2729907,78.22,15.64,1579898624,-14.0,6.800000000000001,55,20,12.3
Hobart,2163355,-42.88,147.33,1579899187,17.0,62.6,48,75,7.7
Butaritari,2110227,3.07,172.79,1579899188,29.06,84.30799999999999,71,100,2.38
Oddur,49747,4.12,43.89,1579899188,26.58,79.844,63,100,7.33
Faanui,4034551,-16.48,-151.75,1579898625,27.91,82.238,78,0,6.47
Ushuaia,3833367,-54.8,-68.3,1579899188,13.0,55.400000000000006,54,75,3.12
Sao Felix do Xingu,3388847,-6.64,-51.99,1579899188,27.45,81.41,81,97,1.18
Rikitea,4030556,-23.12,-134.97,1579899189,25.77,78.386,76,0,7.29
Enterprise,5503766,36.03,-115.24,1579899189,18.33,64.994,33,1,2.1
Bluff,2206939,-46.6,168.33,1579899189,15.0,59.0,96,100,2.24
Wolgast,2806501,54.05,13.77,1579899189,2.78,37.004,92,100,0.89
San Cristobal,3628473,7.77,-72.22,1579899189,27.0,80.6,78,40,2.1
Clyde River,5924351,70.47,-68.59,1579899189,-27.0,-16.6,75,75,6.7
Altay,1529651,47.87,88.12,1579899189,-9.79,14.378,42,19,3.01
Sehithwa,933109,-20.47,22.72,1579899190,26.82,80.27600000000001,41,0,2.08
Saint-Louis,2246451,16.33,-15.0,1579899190,30.76,87.368,22,3,4.03
Ribeira Grande,3372707,38.52,-28.7,1579899190,14.0,57.2,82,75,3.1
Saldanha,3361934,-33.01,17.94,1579898619,19.0,66.2,82,0,2.1
Atuona,4020109,-9.8,-139.03,1579899190,27.06,80.708,75,21,5.43
Port Lincoln,2063036,-34.73,135.87,1579899190,16.32,61.376000000000005,84,0,3.64
Port Elizabeth,964420,-33.92,25.57,1579899112,21.0,69.80000000000001,83,21,2.6
Albany,5106841,42.6,-73.97,1579899191,9.0,48.2,44,1,3.1
Chui,3443061,-33.7,-53.46,1579899064,27.17,80.906,52,0,3.27
Matara,1235846,5.95,80.54,1579899191,22.85,73.13,86,1,3.52
Zarubino,2012646,42.63,131.09,1579899191,-7.4,18.68,65,45,2.5
Klaksvik,2618795,62.23,-6.59,1579899191,4.0,39.2,93,100,5.7
Kapaa,5848280,22.08,-159.32,1579899178,25.0,77.0,69,1,1.5
Port Alberni,6111632,49.24,-124.8,1579899191,9.44,48.992000000000004,93,75,4.6
Saskylakh,2017155,71.92,114.08,1579899192,-32.86,-27.148000000000003,91,100,10.76
Cape Town,3369157,-33.93,18.42,1579898973,20.56,69.008,93,75,5.1
Sroda Wielkopolska,3085045,52.23,17.28,1579899192,1.11,33.998,77,8,4.1
Baiyin,1817240,36.56,104.21,1579899192,-9.44,15.008,84,0,3.0
Surin,1606030,14.88,103.49,1579899192,25.0,77.0,90,36,3.15
Cessnock,2171845,-32.83,151.35,1579899192,24.44,75.992,94,90,4.6
Bambous Virieux,1106677,-20.34,57.76,1579899192,27.0,80.6,94,75,5.7
Haines Junction,5969025,60.75,-137.51,1579898620,-20.72,-5.295999999999999,98,100,2.9
Bandarbeyla,64814,9.49,50.81,1579899193,26.17,79.106,84,100,8.43
Grindavik,3416888,63.84,-22.43,1579899019,1.0,33.8,82,90,10.3
Moree,2156927,-29.47,149.85,1579899193,25.0,77.0,83,0,4.1
Upernavik,3418910,72.79,-56.15,1579899193,-25.17,-13.306000000000004,96,73,2.24
Safford,5312476,32.83,-109.71,1579899193,16.67,62.006,41,1,2.6
Tiznit,2527087,29.58,-9.5,1579899193,11.21,52.178,71,87,0.85
Dingle,1714733,11.0,122.67,1579898633,23.43,74.174,90,7,3.02
Mar del Plata,3430863,-38.0,-57.56,1579899048,26.0,78.80000000000001,78,75,6.2
Bredasdorp,1015776,-34.53,20.04,1579899194,20.0,68.0,88,28,0.5
Tuktoyaktuk,6170031,69.45,-133.04,1579899194,-19.0,-2.200000000000003,77,90,4.6
Srikakulam,1255647,18.3,83.9,1579899194,19.27,66.686,87,84,1.19
Fortuna,5563839,40.6,-124.16,1579899194,16.67,62.006,67,1,1.5
Bitung,1648636,1.45,125.18,1579899194,23.0,73.4,100,20,1.0
Yellowknife,6185377,62.46,-114.35,1579899195,-16.0,3.1999999999999993,84,40,3.6
Busselton,2075265,-33.65,115.33,1579899195,16.67,62.006,58,37,3.98
Mindelo,3374462,16.89,-24.98,1579899195,24.0,75.2,60,0,5.1
Devils Lake,5058868,48.11,-98.87,1579899195,-7.0,19.4,100,90,5.1
Hermanus,3366880,-34.42,19.23,1579899195,19.44,66.992,92,0,7.25
Abaza,1512205,52.66,90.09,1579899195,-10.05,13.909999999999997,78,100,2.76
Nikolskoye,546105,59.7,30.79,1579899195,1.67,35.006,86,40,4.0
Caravelas,3466980,-17.71,-39.25,1579899195,25.99,78.782,86,100,9.92
Hasaki,2112802,35.73,140.83,1579899196,4.0,39.2,69,75,3.6
Qaanaaq,3831208,77.48,-69.36,1579899196,-22.38,-8.283999999999999,52,0,4.24
Nebbi,227904,2.48,31.09,1579899196,20.07,68.126,32,13,1.66
New Norfolk,2155415,-42.78,147.06,1579899196,17.0,62.6,48,75,7.7
Yekaterinovka,468180,52.05,44.35,1579899196,-3.48,25.736,92,100,9.17
Thompson,6165406,55.74,-97.86,1579899197,-8.0,17.6,78,75,3.1
Kaitangata,2208248,-46.28,169.85,1579899197,20.56,69.008,68,100,6.42
Merke,1520969,42.87,73.18,1579899197,-0.53,31.046,77,65,0.69
Chokurdakh,2126123,70.63,147.92,1579899197,-37.26,-35.068,93,0,1.85
Byron Bay,2172880,-28.65,153.62,1579899197,27.78,82.004,78,40,5.1
Ciudad Lazaro Cardenas,4026082,17.96,-102.2,1579899198,28.28,82.904,57,0,3.79
Kodiak,5866583,57.79,-152.41,1579899198,-8.0,17.6,57,90,7.2
Beringovskiy,2126710,63.05,179.32,1579899198,-16.42,2.4439999999999955,97,100,4.22
Pontianak,1630789,-0.03,109.33,1579898627,22.93,73.274,98,36,0.68
Shingu,1847947,33.73,135.98,1579899198,9.14,48.452,67,76,3.7
Alma,5884083,48.55,-71.65,1579899198,-8.0,17.6,72,40,1.0
Zhezkazgan,1516589,47.8,67.71,1579899199,-4.82,23.323999999999998,88,85,6.46
Cabo San Lucas,3985710,22.89,-109.91,1579899082,22.78,73.004,68,90,2.1
Taguatinga,6319623,-12.39,-46.57,1579899199,22.49,72.482,95,100,1.0
Na Wa,1608399,17.49,104.1,1579899199,21.67,71.006,80,100,0.59
Laguna,5364271,38.42,-121.42,1579899199,19.0,66.2,70,20,1.5
Tasiilaq,3424607,65.61,-37.64,1579899200,-7.0,19.4,52,100,12.3
Mataura,6201424,-46.19,168.86,1579899194,15.0,59.0,96,98,2.24
Port Macquarie,2152659,-31.43,152.92,1579898327,23.89,75.00200000000001,94,90,0.5
Jamestown,5122534,42.1,-79.24,1579899200,9.0,48.2,70,90,5.7
Vila Franca do Campo,3372472,37.72,-25.43,1579898643,13.0,55.400000000000006,76,75,3.1
Tautira,4033557,-17.73,-149.15,1579899200,31.0,87.80000000000001,70,20,2.6
Snezhnogorsk,795243,69.19,33.25,1579899200,-17.0,1.3999999999999986,84,75,0.24
Hilo,5855927,19.73,-155.09,1579899195,27.0,80.6,57,90,2.94
Palmer,4946620,42.16,-72.33,1579898913,8.0,46.4,36,20,1.86
Cherskiy,2126199,68.75,161.3,1579899201,-39.61,-39.298,99,14,1.42
Te Anau,2181625,-45.42,167.72,1579899201,14.69,58.442,98,100,0.53
Buala,2109528,-8.14,159.59,1579899201,27.89,82.202,76,51,2.86
Petauke,899825,-14.24,31.33,1579899201,19.14,66.452,87,73,3.15
Huntington,4809537,38.42,-82.45,1579898944,11.67,53.006,87,90,5.1
Honningsvag,779554,70.98,25.97,1579898639,-5.0,23.0,79,99,4.6
Katobu,1640972,-4.94,122.53,1579899202,24.05,75.28999999999999,92,6,0.29
Cidreira,3466165,-30.18,-50.21,1579899202,23.28,73.904,77,0,5.61
Richards Bay,962367,-28.78,32.04,1579899202,25.39,77.702,78,69,9.28
Chicama,3698359,-7.84,-79.15,1579899202,26.0,78.80000000000001,74,40,5.1
Tiksi,2015306,71.69,128.87,1579899202,-35.81,-32.45800000000001,88,0,2.62
Carnarvon,2074865,-24.87,113.63,1579899202,25.0,77.0,69,0,5.7
Summerville,4597919,33.02,-80.18,1579899001,18.33,64.994,88,90,2.1
Mahebourg,934322,-20.41,57.7,1579899203,27.0,80.6,94,75,5.7
Kavieng,2094342,-2.57,150.8,1579899203,28.36,83.048,69,17,3.65
Pevek,2122090,69.7,170.31,1579899203,-33.25,-27.85,97,0,0.51
Baculin,1729469,7.45,126.58,1579899203,22.27,72.086,91,73,1.14
Abu Dhabi,292968,24.47,54.37,1579899063,18.0,64.4,77,5,1.0
Port Alfred,964432,-33.59,26.89,1579899203,23.89,75.00200000000001,70,78,4.92
Sittwe,1295765,20.15,92.9,1579899204,17.23,63.014,48,80,5.76
Matay,352628,28.42,30.78,1579899204,8.03,46.454,57,0,5.68
Kapit,1737185,2.02,112.93,1579899204,21.46,70.628,99,94,0.26
Jacqueville,2287778,5.21,-4.41,1579899204,29.0,84.2,89,20,2.1
Bull Savanna,3491161,17.89,-77.59,1579899204,24.08,75.344,67,2,2.54
Yemelyanovo,1486031,56.17,92.68,1579899204,2.0,35.6,55,40,5.0
Cotonou,2394819,6.37,2.42,1579899205,27.0,80.6,65,0,1.0
Lagoa,3372964,39.05,-27.98,1579899205,15.14,59.252,74,100,6.1
Arraial do Cabo,3471451,-22.97,-42.03,1579899134,24.0,75.2,83,90,2.1
Dodoma,160196,-6.17,35.74,1579899205,20.44,68.792,94,100,1.68
Saint-Philippe,935215,-21.36,55.77,1579899200,26.0,78.80000000000001,100,72,10.3
Ardesen,751949,41.19,40.99,1579899205,1.0,33.8,69,75,3.6
Zhigansk,2012530,66.77,123.37,1579899205,-41.99,-43.58200000000001,96,57,4.07
Hofn,2630299,64.25,-15.21,1579899205,1.15,34.07,93,100,10.59
Lena,3118547,43.1,-5.73,1579899206,11.67,53.006,93,20,2.1
Malakal,370737,9.53,31.66,1579899206,23.26,73.868,14,39,4.56
Aksarka,1512019,66.56,67.8,1579899206,-17.15,1.1300000000000026,97,100,1.76
