city_name,city_id,lat,lon,unix_dt,temp_max,humidity,cloudiness,windspeed
East London,1006984,-33.02,27.91,1579824026,20.14,78,61,5.81
Cape Town,3369157,-33.93,18.42,1579823927,20.0,68,0,8.7
Toamasina,1053384,-18.17,49.38,1579824026,24.0,83,75,8.2
Ushuaia,3833367,-54.8,-68.3,1579823296,10.0,71,75,5.1
Tasiilaq,3424607,65.61,-37.64,1579824027,-9.0,43,23,8.2
Tiznit,2527087,29.58,-9.5,1579824027,9.79,77,12,1.05
Kiryat Gat,293842,31.61,34.76,1579824003,12.78,93,75,6.2
Yakeshi,2033536,49.28,120.73,1579824027,-30.36,100,16,2.11
Buraidah,107304,26.33,43.98,1579824027,4.0,64,0,0.79
Lumberton,4477525,34.62,-79.01,1579824027,10.0,81,1,2.1
Hamilton,4513583,39.18,-84.53,1579823737,7.0,56,90,2.37
Kapaa,5848280,22.08,-159.32,1579824028,27.0,61,90,4.1
Hong Kong,1819729,22.29,114.16,1579823976,22.78,83,40,3.1
Vaini,4032243,-21.2,-175.2,1579824028,29.0,74,20,4.1
Ivanivka,707453,46.72,34.55,1579824028,-1.13,80,17,5.43
Batesville,4100525,35.77,-91.64,1579823944,6.0,100,90,2.6
Port Alfred,964432,-33.59,26.89,1579824028,18.33,92,86,1.79
Sorland,3137469,67.67,12.69,1579823991,1.0,69,75,6.7
Avera,4231997,33.19,-82.53,1579824028,12.0,57,90,3.1
Hobart,2163355,-42.88,147.33,1579824018,17.78,51,75,4.6
Praia da Vitoria,3372760,38.73,-27.07,1579823976,12.0,93,75,4.19
Bluff,2206939,-46.6,168.33,1579823970,26.67,50,66,2.24
Nikolskoye,546105,59.7,30.79,1579824029,1.11,96,90,3.0
New Norfolk,2155415,-42.78,147.06,1579823985,17.78,51,75,4.6
Andira,3401188,-0.74,-47.84,1579824029,27.58,82,90,7.47
Castro,3466704,-24.79,-50.01,1579823975,15.55,98,100,3.02
Abadan,162099,38.05,58.21,1579824029,2.0,93,75,2.1
Butaritari,2110227,3.07,172.79,1579823969,29.25,72,31,4.96
Ketchikan,5554428,55.34,-131.65,1579824029,7.0,100,90,4.6
Marawi,1701054,8.0,124.29,1579824030,25.0,88,26,3.13
Ahipara,2194098,-35.17,173.17,1579824030,30.0,68,0,0.89
Lebu,3883457,-37.62,-73.65,1579823908,16.83,66,17,4.45
Jamestown,5122534,42.1,-79.24,1579823791,4.44,43,90,2.6
Busselton,2075265,-33.65,115.33,1579823838,22.22,43,2,3.89
Yulara,6355222,-25.24,130.99,1579824030,26.0,34,72,7.7
Provideniya,4031574,64.38,-173.3,1579824030,-19.0,70,89,4.0
Tuktoyaktuk,6170031,69.45,-133.04,1579824030,-26.0,75,40,4.6
Port-Gentil,2396518,-0.72,8.78,1579824030,28.0,94,20,1.0
